Roma-Three,2611,terra,1,Roma
Milano-Three,5908,cemento,0,Milano
Paris-Three,7487,erba,0,Paris
NewYork-Three,2525,terra,0,NewYork
Madrid-Three,8067,cemento,0,Madrid
Basilea-Three,9588,erba,0,Basilea
Barcellona-Three,7202,terra,1,Barcellona
Miami-Three,1380,cemento,1,Miami
Dublino-Three,1749,erba,0,Dublino
Berlino-Three,9479,terra,1,Berlino
Oslo-Three,1440,cemento,0,Oslo
Londra-Three,9677,erba,0,Londra
Atene-Three,4036,terra,0,Atene
Krakowia-Three,6194,cemento,0,Krakowia
Guangzhou-Three,7089,erba,0,Guangzhou
Fuzhou-Three,6252,terra,1,Fuzhou
Beijing-Three,8561,cemento,0,Beijing
Baotou-Three,8399,erba,0,Baotou
Hohhot-Three,2240,terra,1,Hohhot
Guiyang-Three,7580,cemento,0,Guiyang
Yinchuan-Three,4080,erba,0,Yinchuan
Nanjing-Three,6782,terra,1,Nanjing
Newcastle-Three,6237,cemento,0,Newcastle
Maskor-Three,4976,erba,0,Maskor
Nordaz-Three,3140,terra,0,Nordaz
Maskell-Three,6766,cemento,0,Maskell
Hartington-Three,6490,erba,1,Hartington
Prague-Three,9804,terra,1,Prague
Spencer-Three,8968,cemento,1,Spencer
Ulysses-Three,2461,erba,1,Ulysses
Malmo-Three,1613,terra,0,Malmo
Lisbona-Three,3470,cemento,1,Lisbona
Brisbane-Three,1244,erba,0,Brisbane
Sidney-Three,2170,terra,0,Sidney
Mosca-Three,3131,cemento,1,Mosca
Doha-Three,8741,erba,1,Doha
Montpellier-Three,5563,terra,1,Montpellier
Sofia-Three,4269,cemento,1,Sofia
Rotterdam-Three,3168,erba,1,Rotterdam
Buenos-Aires-Three,8633,terra,0,Buenos Aires
Marseille-Three,7498,cemento,1,Marseille
Dubai-Three,8814,erba,1,Dubai
Sao-Paulo-Three,1077,terra,0,Sao Paulo
Estoril-Three,9565,cemento,1,Estoril
Genova-Three,3367,erba,0,Genova
Nizza-Three,3888,terra,0,Nizza
Stuttcard-Three,6383,cemento,1,Stuttcard
Halle-Three,1859,erba,1,Halle
Birmingham-Three,2457,terra,0,Birmingham
Mallorca-Three,2158,cemento,0,Mallorca
Nottingham-Three,9193,erba,1,Nottingham
Bastad-Three,3011,terra,0,Bastad
Newport-Three,3013,cemento,0,Newport
Katowice-Three,2867,erba,0,Katowice
Marrakech-Three,2313,terra,1,Marrakech
Monte-Carlo-Three,6649,cemento,1,Monte Carlo
Umago-Three,2706,erba,1,Umago
Toronto-Three,9103,terra,0,Toronto
Montreal-Three,7876,cemento,0,Montreal
Atlanta-Three,9623,erba,0,Atlanta
Cincinnati-Three,5580,terra,1,Cincinnati
NewEven-Three,5340,cemento,1,New Even
Los-Cabos-Three,3057,erba,0,Los Cabos
Shenzen-Three,5972,terra,1,Shenzen
Milkovize-Three,8254,cemento,1,Milkovize
Antwerp-Three,8717,erba,1,Antwerp
kuala-Lumpur-Three,8999,terra,1,kuala-Lumpur
Gastad-Three,7195,cemento,1,Gastad
SertoghenBosh-Three,5468,erba,0,SertoghenBosh
Geneva-Three,8111,terra,0,Geneva
Torino-Three,1171,cemento,0,Torino
Sarasota-Three,6612,erba,0,Sarasota
Taipei-Three,1390,terra,1,Taipei
Ostrava-Three,1783,cemento,0,Ostrava
Anning-Three,5435,erba,1,Anning
Bussan-Three,5491,terra,1,Bussan
Mestre-Three,4430,cemento,0,Mestre
Vicenza-Three,3175,erba,0,Vicenza
Caltanissetta-Three,9904,terra,0,Caltanissetta
Furth-Three,8474,cemento,1,Furth
Blois-Three,2287,erba,0,Blois
Marburg-Three,7774,terra,0,Marburg
Cali-Three,1455,cemento,0,Cali
Pozan-Three,4225,erba,1,Pozan
Winnipeng-Three,9146,terra,1,Winnipeng
Recanati-Three,4572,cemento,1,Recanati
Segovia-Three,7545,erba,1,Segovia
Noumea-Three,7866,terra,0,Noumea
Mendozza-Three,7584,cemento,0,Mendozza
Canberra-Three,2531,erba,0,Canberra
Manila-Three,1113,terra,0,Manila
Maui-Three,6049,cemento,1,Maui
Morelos-Three,3052,erba,1,Morelos
Karshi-Three,5984,terra,0,Karshi
Launcheston-Three,5326,cemento,1,Launcheston
Palermo-Three,7027,erba,0,Palermo
Catania-Three,1728,terra,0,Catania
Napoli-Three,9509,cemento,0,Napoli
Pires-Three,8023,erba,0,Pires
Bruge-Three,3659,terra,1,Bruge
